gindex,gtype,location,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,cost-2nd,cost-1st,cost-nl,SUcost,SDcost,RU,RD,UPtime,Dntime,Zone name
1,Nuclear,2,0,0,0,0,0,1,0,1244,995.2,0,10,1000,950000,0,120,120,24,49,NH
2,Nuclear,6,0,0,0,0,0,1,0,1235,988,0,10,1250,850000,0,120,120,24,48,CT
3,Nuclear,6,0,0,0,0,0,1,0,881,704.8,0,5,1500,900000,0,120,120,24,48,CT
4,Nuclear,8,0,0,0,0,0,1,0,684.7,547.76,0,7,1250,875000,0,120,120,24,48,SEMASS
5,Nuclear,3,0,0,0,0,0,1,0,620.2,496.16,0,11,1500,925000,0,120,120,24,47,VT
6,Oil,1,0,0,0,0,0,1,0,600.4,210.14,0,160.55,10379,115287,0,400,400,10,8,ME
7,Oil,8,0,0,0,0,0,1,0,558.7,195.545,0,153.16,10707,272400.8,0,400,400,24,32,SEMASS
8,Oil,8,0,0,0,0,0,1,0,553,193.55,0,192.06,12828,191144.1,0,400,400,24,32,SEMASS
9,Oil,6,0,0,0,0,0,1,0,447.9,156.765,0,160,7000,100000,0,400,400,14,8,CT
10,Oil,7,0,0,0,0,0,1,0,435,152.25,0,192,10000,120000,0,400,400,12,9,RI
11,Oil,1,0,0,0,0,0,1,0,431,150.85,0,233,8260,85000,0,400,400,16,12,ME
12,Oil,6,0,0,0,0,0,1,0,407.4,142.59,0,233.42,7367,86332.49,0,400,400,16,15,CT
13,Oil,2,0,0,0,0,0,1,0,400.2,140.07,0,54.57,3175,32566.38,0,400,400,6,5,NH
14,Oil,6,0,0,0,0,0,1,0,400,140,0,200.14,11358,62461.34,0,400,400,16,11,CT
15,Oil,6,0,0,0,0,0,1,0,236,82.6,0,192.06,5000,120000,0,400,400,16,40,CT
16,Oil,6,0,0,0,0,0,1,0,168,58.8,0,151.16,4000,45000,0,400,400,17,10,CT
17,Oil,6,0,0,0,0,0,1,0,130.5,45.675,0,152.16,3500,45000,0,400,400,12,8,CT
18,Oil,6,0,0,0,0,0,1,0,117,40.95,0,192.06,2800,80000,0,400,400,16,11,CT
19,Oil,1,0,0,0,0,0,1,0,115.5,40.425,0,154.16,3000,45000,0,400,400,8,8,ME
20,Oil,6,0,0,0,0,0,1,0,81,28.35,0,54,2100,12000,0,400,400,16,12,CT
21,Gas,1,0,0,0,0,0,1,0,693.8,138.76,0,23.13,3858.73,66889.42,0,400,400,12,12,ME
22,Gas,1,0,0,0,0,0,1,0,685.3,137.06,0,25.14,3858.73,66889.42,0,400,400,12,12,ME
23,Gas,8,0,0,0,0,0,1,0,675.5,135.1,0,57,610.84,76560.21,0,400,400,12,12,SEMASS
24,Gas,1,0,0,0,0,0,1,0,554.8,110.96,0,90,612.84,25000,0,400,400,24,24,ME
25,Gas,7,0,0,0,0,0,1,0,515.5,103.1,0,27.72,0,325.75,0,400,400,8,6,RI
26,Gas,2,0,0,0,0,0,1,0,508,101.6,0,23.13,0,1000,0,400,400,12,6,NH
27,Gas,1,0,0,0,0,0,1,0,490.4,98.08,0,23,0,1000,0,400,400,14,6,ME
28,Gas,6,0,0,0,0,0,1,0,447.9,89.58,0,50,0,2500,0,400,400,8,6,CT
29,Gas,7,0,0,0,0,0,1,0,270.9,54.18,0,27.72,0,2352,0,400,400,6,4,RI
30,Gas,7,0,0,0,0,0,1,0,264.9,52.98,0,57,500,12000,0,400,400,8,6,RI
31,Gas,7,0,0,0,0,0,1,0,248.7,49.74,0,22.23,699.7,11112.19,0,400,400,8,5,RI
32,Gas,7,0,0,0,0,0,1,0,247.8,49.56,0,22.28,699.7,11112.19,0,400,400,8,5,RI
33,Gas,7,0,0,0,0,0,1,0,247.8,49.56,0,22.18,699.7,11112.19,0,400,400,8,5,RI
34,Gas,1,0,0,0,0,0,1,0,244.9,48.98,0,52,0,62500,0,400,400,12,12,ME
35,Gas,8,0,0,0,0,0,1,0,244.8,48.96,0,58,475,12000,0,400,400,12,8,SEMASS
36,Gas,7,0,0,0,0,0,1,0,238.6,47.72,0,57.5,485,12000,0,400,400,8,6,RI
37,Gas,4,0,0,0,0,0,1,0,238.3,47.66,0,25,250,7500,0,400,400,6,6,WCMASS
38,Gas,7,0,0,0,0,0,1,0,236.4,47.28,0,56.5,495,12000,0,400,400,8,6,RI
39,Gas,1,0,0,0,0,0,1,0,153.5,30.7,0,90,250,5000,0,400,400,17,12,ME
40,Gas,7,0,0,0,0,0,1,0,149,29.8,0,56.5,250,7250,0,400,400,8,6,RI
41,Gas,7,0,0,0,0,0,1,0,149,29.8,0,56.75,350,4000,0,400,400,4,6,RI
42,Gas,7,0,0,0,0,0,1,0,149,29.8,0,57,325,3500,0,400,400,4,6,RI
