year,local_day,LOCAL_HOUR_END,tot_solar_mwh,_FREQ_
2018,1-Jan-18,1,,
2018,1-Jan-18,2,,
2018,1-Jan-18,3,,
2018,1-Jan-18,4,,
2018,1-Jan-18,5,,
2018,1-Jan-18,6,,
2018,1-Jan-18,7,0.265,6
2018,1-Jan-18,8,2.03,155
2018,1-Jan-18,9,27.671,437
2018,1-Jan-18,10,77.068,553
2018,1-Jan-18,11,123.813,601
2018,1-Jan-18,12,151.66,613
2018,1-Jan-18,13,158.655,614
2018,1-Jan-18,14,137.811,596
2018,1-Jan-18,15,85.182,544
2018,1-Jan-18,16,27.308,410
2018,1-Jan-18,17,0.747,90
2018,1-Jan-18,18,,
2018,1-Jan-18,19,,
2018,1-Jan-18,20,,
2018,1-Jan-18,21,,
2018,1-Jan-18,22,,
2018,1-Jan-18,23,,
2018,1-Jan-18,24,,
2018,2-Jan-18,1,,
2018,2-Jan-18,2,,
2018,2-Jan-18,3,,
2018,2-Jan-18,4,,
2018,2-Jan-18,5,,
2018,2-Jan-18,6,,
2018,2-Jan-18,7,0.387,6
2018,2-Jan-18,8,3.949,202
2018,2-Jan-18,9,42.314,435
2018,2-Jan-18,10,111.266,523
2018,2-Jan-18,11,172.491,566
2018,2-Jan-18,12,213.089,586
2018,2-Jan-18,13,220.806,591
2018,2-Jan-18,14,152.782,560
2018,2-Jan-18,15,57.24,478
2018,2-Jan-18,16,24.899,416
2018,2-Jan-18,17,1.506,181
2018,2-Jan-18,18,,
2018,2-Jan-18,19,,
2018,2-Jan-18,20,,
2018,2-Jan-18,21,,
2018,2-Jan-18,22,,
2018,2-Jan-18,23,,
2018,2-Jan-18,24,,
2018,3-Jan-18,1,,
2018,3-Jan-18,2,,
2018,3-Jan-18,3,,
2018,3-Jan-18,4,,
2018,3-Jan-18,5,,
2018,3-Jan-18,6,,
2018,3-Jan-18,7,0.397,6
2018,3-Jan-18,8,7.643,287
2018,3-Jan-18,9,64.633,461
2018,3-Jan-18,10,156.591,553
2018,3-Jan-18,11,240.783,598
2018,3-Jan-18,12,294.909,621
2018,3-Jan-18,13,275.411,621
2018,3-Jan-18,14,229.701,593
2018,3-Jan-18,15,126.085,528
2018,3-Jan-18,16,45.89,461
2018,3-Jan-18,17,2.227,250
2018,3-Jan-18,18,,
2018,3-Jan-18,19,,
2018,3-Jan-18,20,,
2018,3-Jan-18,21,,
2018,3-Jan-18,22,,
2018,3-Jan-18,23,,
2018,3-Jan-18,24,,
2018,4-Jan-18,1,,
2018,4-Jan-18,2,,
2018,4-Jan-18,3,,
2018,4-Jan-18,4,,
2018,4-Jan-18,5,,
2018,4-Jan-18,6,,
2018,4-Jan-18,7,0.354,6
2018,4-Jan-18,8,0.422,7
2018,4-Jan-18,9,0.897,17
2018,4-Jan-18,10,1.334,36
2018,4-Jan-18,11,2.174,82
2018,4-Jan-18,12,3.622,119
2018,4-Jan-18,13,3.804,127
2018,4-Jan-18,14,4.011,117
2018,4-Jan-18,15,3.457,127
2018,4-Jan-18,16,1.29,88
2018,4-Jan-18,17,0.286,7
2018,4-Jan-18,18,,
2018,4-Jan-18,19,,
2018,4-Jan-18,20,,
2018,4-Jan-18,21,,
2018,4-Jan-18,22,,
2018,4-Jan-18,23,,
2018,4-Jan-18,24,,
2018,5-Jan-18,1,,
2018,5-Jan-18,2,,
2018,5-Jan-18,3,,
2018,5-Jan-18,4,,
2018,5-Jan-18,5,,
2018,5-Jan-18,6,,
2018,5-Jan-18,7,0.329,6
2018,5-Jan-18,8,2.292,158
2018,5-Jan-18,9,31.24,365
2018,5-Jan-18,10,90.427,449
2018,5-Jan-18,11,143.499,495
2018,5-Jan-18,12,166.2,513
2018,5-Jan-18,13,165.306,517
2018,5-Jan-18,14,143.527,514
2018,5-Jan-18,15,93.844,476
2018,5-Jan-18,16,31.485,406
2018,5-Jan-18,17,1.079,120
2018,5-Jan-18,18,,
2018,5-Jan-18,19,,
2018,5-Jan-18,20,,
2018,5-Jan-18,21,,
2018,5-Jan-18,22,,
2018,5-Jan-18,23,,
2018,5-Jan-18,24,,
2018,6-Jan-18,1,,
2018,6-Jan-18,2,,
2018,6-Jan-18,3,,
2018,6-Jan-18,4,,
2018,6-Jan-18,5,,
2018,6-Jan-18,6,,
2018,6-Jan-18,7,0.321,6
2018,6-Jan-18,8,4.069,204
2018,6-Jan-18,9,47.794,441
2018,6-Jan-18,10,122.7,527
2018,6-Jan-18,11,178.844,565
2018,6-Jan-18,12,203.861,580
2018,6-Jan-18,13,204.465,586
2018,6-Jan-18,14,174.668,572
2018,6-Jan-18,15,115.249,532
2018,6-Jan-18,16,40.464,443
2018,6-Jan-18,17,1.584,152
2018,6-Jan-18,18,,
2018,6-Jan-18,19,,
2018,6-Jan-18,20,,
2018,6-Jan-18,21,,
2018,6-Jan-18,22,,
2018,6-Jan-18,23,,
2018,6-Jan-18,24,,
2018,7-Jan-18,1,,
2018,7-Jan-18,2,,
2018,7-Jan-18,3,,
2018,7-Jan-18,4,,
2018,7-Jan-18,5,,
2018,7-Jan-18,6,,
2018,7-Jan-18,7,0.305,6
2018,7-Jan-18,8,4.33,213
2018,7-Jan-18,9,51.778,456
2018,7-Jan-18,10,133.646,554
2018,7-Jan-18,11,195.065,591
2018,7-Jan-18,12,228.126,611
2018,7-Jan-18,13,235.132,615
2018,7-Jan-18,14,203.068,596
