year,local_day,local_hour_end,tot_wind_mwh,_FREQ_
2018,1-Jan-18,01,735.519,45
2018,1-Jan-18,02,713.769,44
2018,1-Jan-18,03,689.242,43
2018,1-Jan-18,04,689.467,44
2018,1-Jan-18,05,697.554,43
2018,1-Jan-18,06,717.258,44
2018,1-Jan-18,07,691.368,45
2018,1-Jan-18,08,663.387,44
2018,1-Jan-18,09,641.822,46
2018,1-Jan-18,10,563.413,45
2018,1-Jan-18,11,555.728,49
2018,1-Jan-18,12,567.005,48
2018,1-Jan-18,13,588.106,50
2018,1-Jan-18,14,619.106,51
2018,1-Jan-18,15,634.036,51
2018,1-Jan-18,16,621.566,54
2018,1-Jan-18,17,656.921,44
2018,1-Jan-18,18,679.537,43
2018,1-Jan-18,19,666.843,44
2018,1-Jan-18,20,670.949,43
2018,1-Jan-18,21,656.297,42
2018,1-Jan-18,22,620.211,43
2018,1-Jan-18,23,551.716,44
2018,1-Jan-18,24,548.696,42
2018,2-Jan-18,01,553.901,43
2018,2-Jan-18,02,556.652,45
2018,2-Jan-18,03,589.646,46
2018,2-Jan-18,04,644.669,45
2018,2-Jan-18,05,653.913,46
2018,2-Jan-18,06,655.529,47
2018,2-Jan-18,07,630.51,47
2018,2-Jan-18,08,610.901,45
2018,2-Jan-18,09,595.041,45
2018,2-Jan-18,10,545.634,45
2018,2-Jan-18,11,518.58,43
2018,2-Jan-18,12,473.52,44
2018,2-Jan-18,13,431.814,47
2018,2-Jan-18,14,367.338,46
2018,2-Jan-18,15,358.099,42
2018,2-Jan-18,16,367.348,42
2018,2-Jan-18,17,435.884,41
2018,2-Jan-18,18,481.445,41
2018,2-Jan-18,19,466.837,43
2018,2-Jan-18,20,569.12,44
2018,2-Jan-18,21,628.776,44
2018,2-Jan-18,22,615.692,46
2018,2-Jan-18,23,593.271,46
2018,2-Jan-18,24,557.659,46
2018,3-Jan-18,01,542.33,46
2018,3-Jan-18,02,506.484,44
2018,3-Jan-18,03,496.372,41
2018,3-Jan-18,04,521.623,41
2018,3-Jan-18,05,482.19,41
2018,3-Jan-18,06,418.308,41
2018,3-Jan-18,07,365.042,41
2018,3-Jan-18,08,263.38,44
2018,3-Jan-18,09,235.055,42
2018,3-Jan-18,10,166.466,39
2018,3-Jan-18,11,129.151,42
2018,3-Jan-18,12,81.965,42
